BEDROOMS,PROPERTY TYPE,HAS GYM,EN SUITE,SWIMMING POOL,Has DSQ,Has GARDEN,LOCATION,SELLING PRICE 
6,Villa,0,1,0,0,0,Lavington,"121,000,000"
3,House,0,1,0,0,1,Mtwapa,"7,500,000"
4,House,0,1,0,0,0,Kitengela,"34,000,000"
4,House,0,1,0,0,0,Kilimani,"38,000,000"
3,NOT PROVIDED,0,0,0,0,0,Buruburu,"13,000,000"
3,House,0,1,0,1,0,Juja,"7,200,000"
4,Townhouse,0,1,0,1,0,Westlands,"90,000,000"
3,Townhouse,0,1,0,0,0,Ruiru,"10,500,000"
5,Townhouse,0,1,0,0,0,Westlands,"48,000,000"
4,Villa,0,1,0,0,0,Eastern ByPass,"21,000,000"
5,Townhouse,0,1,0,0,0,Westlands,"70,000,000"
4,NOT PROVIDED,0,0,0,0,0,Limuru,"17,500,000"
3,Villa,0,1,0,0,0,Mtwapa,"30,000,000"
4,House,0,1,0,0,0,Nyali,"70,000,000"
4,Townhouse,0,1,0,0,0,Ruiru,"12,600,000"
3,House,0,1,0,1,0,Mombasa Road,"13,500,000"
6,Villa,0,1,0,0,0,Nyali,"64,000,000"
5,House,0,1,0,0,1,Kitengela,"16,499,000"
5,Townhouse,0,1,0,0,0,Lavington,"95,000,000"
5,Townhouse,0,1,0,0,0,Westlands,"65,000,000"
4,House,0,1,0,0,0,Kikambala,"25,000,000"
4,Townhouse,0,1,0,0,0,Westlands,"56,000,000"
3,NOT PROVIDED,0,0,0,0,0,Ngong,"13,000,000"
3,Villa,0,1,0,0,0,Ukunda,"60,000,000"
5,Townhouse,0,1,0,0,0,Kileleshwa,"350,000,000"
4,Villa,0,1,0,0,0,Mombasa Island,"11,950,000"
8,Villa,0,1,0,0,0,Gasaro,"22,500,000"
3,Villa,0,1,0,0,0,Kiserian,"6,100,000"
3,House,0,1,0,0,0,Kikuyu,"12,100,000"
4,Townhouse,0,1,0,0,0,Kiambu Road,"24,000,000"
4,House,0,1,0,0,0,Ruiru,"26,000,000"
3,Townhouse,0,1,0,0,0,Kikuyu,"9,500,000"
3,House,0,1,0,0,0,Kisumu,"11,000,000"
2,House,0,1,0,0,0,Kikambala,"13,500,000"
4,NOT PROVIDED,0,0,0,0,0,Westlands,"300,000,000"
4,Townhouse,0,1,0,0,0,Westlands,"55,000,000"
7,House,0,0,1,0,0,Karen,"125,000,000"
4,Townhouse,0,1,0,0,0,Ruaka,"17,000,000"
4,House,0,1,0,0,0,Karen,"68,000,000"
4,Villa,0,1,0,0,0,Nyali,"72,000,000"
4,House,0,1,0,0,0,Ruiru,"12,600,000"
4,Townhouse,0,1,0,0,0,Mtwapa,"14,200,000"
5,NOT PROVIDED,0,0,0,0,0,Westlands,"100,000,000"
3,House,0,1,0,0,0,Ruiru,"8,500,000"
3,House,0,1,0,0,0,Juja,"6,750,000"
5,House,0,1,0,0,0,South C,"38,000,000"
5,Townhouse,0,1,0,0,0,Lavington,"75,000,000"
4,NOT PROVIDED,0,0,0,0,0,Karen,"63,000,000"
3,House,0,1,0,0,0,Kikambala,"55,000,000"
3,House,0,1,0,0,0,Athi River,"12,500,000"
4,Villa,0,1,0,0,0,Kitengela,"14,500,000"
3,Villa,0,1,0,0,0,Mtwapa,"31,500,000"
5,NOT PROVIDED,0,0,0,0,0,Karen,"90,000,000"
3,House,0,1,0,0,0,Nyali,"22,000,000"
4,House,0,1,0,0,0,Nyali,"15,000,000"
3,House,0,0,0,0,0,Ruiru,"6,500,000"
4,Townhouse,0,1,0,0,0,Lavington,"60,000,000"
4,House,0,1,0,0,0,Lavington,"66,000,000"
3,House,0,1,0,0,0,Kitengela,"6,000,000"
5,House,0,1,0,0,0,Westlands,"150,000,000"
3,House,0,0,0,0,0,Ongata Rongai,"10,500,000"
4,Townhouse,0,1,0,0,0,Lavington,"70,000,000"
5,Villa,0,1,0,0,0,Westlands,"90,000,000"
5,House,0,1,0,0,0,Westlands,"95,000,000"
6,House,0,1,0,0,0,Muthaiga,"650,000,000"
3,House,0,1,0,0,0,Westlands,"9,500,000"
4,Townhouse,0,1,0,0,0,Ongata Rongai,"12,500,000"
4,House,0,1,0,0,0,Westlands,"90,000,000"
2,House,0,1,0,0,0,Kileleshwa,"20,000,000"
5,House,0,1,0,0,0,Karen,"110,000,000"
4,Villa,0,1,0,0,1,Thika Road,"29,000,000"
4,Villa,0,1,0,0,0,Neptune,"95,000,000"
5,Townhouse,0,1,0,0,0,Lavington,"105,000,000"
4,Villa,0,1,0,0,0,Kenyatta Road,"10,500,000"
5,House,0,1,0,0,0,Karen,"100,000,000"
4,Villa,0,1,0,1,0,South C,"29,000,000"
5,Townhouse,0,1,0,1,0,Langata,"25,000,000"
4,House,0,1,0,1,0,Limuru,"40,000,000"
5,Villa,0,1,0,0,0,Karen,"135,000,000"
6,NOT PROVIDED,0,0,0,0,0,Karen,"180,000,000"
3,House,0,0,0,0,0,Thika,"6,500,000"
6,House,0,1,0,0,0,Westlands,"100,000,000"
4,Villa,0,1,0,0,0,Limuru,"16,500,000"
8,NOT PROVIDED,0,0,0,0,0,Karen,"200,000,000"
3,NOT PROVIDED,0,0,0,0,0,Buruburu,"10,500,000"
5,House,0,1,0,0,0,Syokimau,"12,000,000"
